URL,Description,Type
https://wucw79nuo.lflinkup.com/,SAISON CARD,Phishing
https://www.paypalobjects.com/page-61.php ,paypal,Not Phishing
https://www.paypalobjects.com/tarpit.txt ,paypal,Not Phishing
https://www.rhsfdg45.x24hr.com/,AEON card,Phishing
https://mail.jzpnood.cn/,SAISON CARD,Phishing
https://www.go-eki-co.jp-gooto-limivavn.cxptmbr.cn/,Ekinet,Phishing
https://ferhtrgfas.mylftv.com/,SAISON CARD,Phishing
https://nnbfg7o5.ssmailer.com/,SAISON CARD,Phishing
https://dsacxazvcsdg.mefound.com/,Epos card,Phishing
https://neptuneprojects.org/promo/wp-content/v11.php?ID=,AEON card,Phishing
https://www.softbank.jp/ewbutton_guestbook/,Softbox,Not Phishing
https://3ec4d86dfa697608f4fa468a6177948c.com-domains.cn/caonige,Amazon,Phishing
https://www.americanexpress.com/cp/ , americanexpress,Not Phishing
https://www.ana.co.jp/en/us/landing_pages/ ,Ana,Not Phishing
https://04805f2677ee038af3ed0d93ddf7e178.caonimamajap.org/aeon.co.jp/,AEON card,Phishing
https://www.ana.co.jp/en/us/dlink/ ,Ana,Not Phishing
https://service.ugwjian.cn/,SAISON CARD,Phishing
https://www.ana.co.jp/en/us/disk/ ,Ana,Not Phishing
https://4ee5f03dce1fdb23b5d6b204ff19836c.caonimamajap.com/aeon.co.jp/,AEON card,Phishing
https://prepaid-card-balance.americanexpress.com/ , americanexpress,Not Phishing
https://lzyhzzxwsy.com/,Sumitomo Mitsui Trust Bank,Phishing
https://www.ana.co.jp/en/us/forum_link/ ,Ana,Not Phishing
https://rdtdmfdh.dns05.com/,Mitsui Sumitomo Bank Card,Phishing
https://pencile.evensanne.com/,Mitsui Sumitomo Bank Card,Phishing
https://www.paypalobjects.com/permlink-16x16.php ,paypal,Not Phishing
https://accout.smba.jp.raeoh.com/,Mitsui Sumitomo Bank Card,Phishing
http://www.kueronekaycecotn.co.jp.258design.cn/,Yamato Transport,Phishing
http://wweovfdd.cfd/,Amazon,Phishing
http://www.kuerenenkaycaseto.co.jp.kiqcbxw.cn/,Yamato Transport,Phishing
https://baka.yaro.u.ccecolombia.org/,J:COM,Phishing
https://paann.cfd/,Amazon,Phishing
https://yp215.com/,Sumitomo Mitsui Trust Bank,Phishing
https://v6xxxco.duckdns.org/,Aeon bank,Phishing
https://www2.miread.co.jp.mm74.cn/,MICARD,Phishing
https://www.paypalobjects.com/topictech2.txt ,paypal,Not Phishing
http://igfuihaijwdorkacso.com/,Amazon,Phishing
http://vqmaxxxtpe.duckdns.org/,Apple ID,Phishing
https://fewhtrfsa.isasecret.com/,SAISON CARD,Phishing
https://www.eki-co-jp-adminavb.uhubviu.cn/,Ekinet,Phishing
https://wsfdqu.cfd/,Amazon,Phishing
https://u78dd.cfd/index.php?id=,Epos card,Phishing
https://deqytjythfdfs.yourtrap.com/,SAISON CARD,Phishing
https://japan.ana-airclub.net/?cookies=web-20529071,ANA,Phishing
https://yaxy.cn/,Mitsui Sumitomo Bank Card,Phishing
https://royalsandstours.com/?10st,Apple ID,Phishing
https://www.amzanao.co.ip.tenwed.one/a3IwMDY1P3,Amazon,Phishing
https://www.paypalobjects.com/thebiglie.php ,paypal,Not Phishing
https://eszff.icu/,SAISON CARD,Phishing
https://ekicomjp.xinghuoweimang.com/,Ekinet,Phishing
https://grehrfsad.wikaba.com/,SAISON CARD,Phishing
https://www.grehtrhdgs.jungleheart.com/,Mitsui Sumitomo Bank Card,Phishing
https://www.kuerennkaycaeto.co.jp.f6559.cn/,Yamato Transport,Phishing
http://teleqoam.top/,Telegram,Phishing
https://827htgdss.cfd/index.php?id=,Apple ID,Phishing
https://www.mejxmnl.cn/,SAISON CARD,Phishing
https://yunnersitc.com/index.php?id=hcvgqdlu8i35xm4tzbt6,Apple ID,Phishing
https://mynumberscard.points.soumu-go-jp.hunan9.com/,Ministry of Internal Affairs and Communications,Phishing
https://mzty39b2.duckdns.org,Aeon bank,Phishing
https://zazdd.cfd/,Amazon,Phishing
https://wx2y05.duckdns.org,Aeon bank,Phishing
http://0arxhu.duckdns.org/,softbank,Phishing
https://adminpapa-jp.05xiao.top/,PayPay,Phishing
https://wenuverv79.lflink.com/,PayPay,Phishing
https://www.paypalobjects.com/staffcop.txt ,paypal,Not Phishing
https://www.kuersaoeoanmuksankasaneoensyasaatn.co.jp.gyy08.top/,Yamato Transport,Phishing
https://www.ana.co.jp/en/us/faq/ ,Ana,Not Phishing
https://www.ana.co.jp/en/us/cnsmin/ ,Ana,Not Phishing
https://www.ana.co.jp/en/us/kaufmann/ ,Ana,Not Phishing
https://www.kuronekoyamato.co.jp/en/write/  ,Yamato Transport,Not Phishing
https://www.ana.co.jp/en/us/helponformatting/ ,Ana,Not Phishing
https://1f6mj1.duckdns.org,Aeon bank,Phishing
https://www.paypalobjects.com/w20.html ,paypal,Not Phishing
https://rdvxx.cfd/,Amazon,Phishing
https://www.goo-eki.co.jp-linco.chdbyjy.cn/,Ekinet,Phishing
https://fw5bs5.duckdns.org,Aeon bank,Phishing
http://z-fma.ywwbp.com/,Apple ID,Phishing
https://tradeassurance.alibaba.com/ta/MoneyBackPolicy.htm?tracelog=PC_header_mb,Alibaba,Not Phishing
https://wefsxzw.xyz/index.php?info=*,SAISON CARD,Phishing
https://www.americanexpress.com/climate/ , americanexpress,Not Phishing
